primary_key,match_key,date,time_of_day,name_team_A,name_team_B,gametime,score_team_A,score_team_B,odd_win_team_A,odd_draw,odd_win_team_B,prob_win_team_A,prob_draw,prob_win_team_B
Erzgebirge_Aue_versus_SpVgg_Unterhaching_time_2024-04-20 14:32:33,Erzgebirge_Aue_versus_SpVgg_Unterhaching,2024-04-20,14:32:33,Erzgebirge Aue,SpVgg Unterhaching,32',0,0,2.1,2.9,3.8,0.43921904761904756,0.3180551724137931,0.24272631578947368
Hallescher_FC_versus_SC_Verl_time_2024-04-20 14:32:33,Hallescher_FC_versus_SC_Verl,2024-04-20,14:32:33,Hallescher FC,SC Verl,32',1,0,1.45,3.8,8.0,0.6398620689655172,0.2441578947368421,0.115975
VfB_Lübeck_versus_Borussia_Dortmund_II_time_2024-04-20 14:32:33,VfB_Lübeck_versus_Borussia_Dortmund_II,2024-04-20,14:32:33,VfB Lübeck,Borussia Dortmund II,32',0,2,16.0,8.5,1.1,0.057379374999999996,0.10800823529411764,0.8346090909090907
RC_Celta_de_Vigo_versus_UD_Las_Palmas_time_2024-04-20 14:32:33,RC_Celta_de_Vigo_versus_UD_Las_Palmas,2024-04-20,14:32:33,RC Celta de Vigo,UD Las Palmas,32',0,1,3.1,3.2,2.2,0.29604838709677417,0.28679687499999995,0.41715909090909087
1860_München_versus_1._FC_Saarbrücken_time_2024-04-20 14:32:33,1860_München_versus_1._FC_Saarbrücken,2024-04-20,14:32:33,1860 München,1. FC Saarbrücken,30',0,1,10.0,5.0,1.27,0.091962,0.183924,0.7241102362204724
Dynamo_Dresden_versus_FC_Viktoria_Köln_time_2024-04-20 14:32:33,Dynamo_Dresden_versus_FC_Viktoria_Köln,2024-04-20,14:32:33,Dynamo Dresden,FC Viktoria Köln,30',0,0,1.35,4.3,8.0,0.6744444444444444,0.21174418604651163,0.1138125
Bandirmaspor_versus_Tuzlaspor_time_2024-04-20 14:32:33,Bandirmaspor_versus_Tuzlaspor,2024-04-20,14:32:33,Bandirmaspor,Tuzlaspor,90'+3,1,1,7.0,1.13,14.0,0.12996,0.8050619469026549,0.06498
Ethio_Electric_SC_versus_Oromia_Police_Fc_time_2024-04-20 14:32:33,Ethio_Electric_SC_versus_Oromia_Police_Fc,2024-04-20,14:32:33,Ethio Electric SC,Oromia Police Fc,80',1,0,1.02,10.0,45.0,0.889156862745098,0.090694,0.020154222222222223
Skövde_AIK_versus_Trelleborgs_FF_time_2024-04-20 14:32:33,Skövde_AIK_versus_Trelleborgs_FF,2024-04-20,14:32:33,Skövde AIK,Trelleborgs FF,76',1,0,1.27,4.0,14.0,0.7101181102362205,0.2254625,0.06441785714285715
FC_Rosengaard_1917_versus_Onsala_BK_time_2024-04-20 14:32:33,FC_Rosengaard_1917_versus_Onsala_BK,2024-04-20,14:32:33,FC Rosengaard 1917,Onsala BK,74',1,1,2.5,1.85,6.5,0.36550000000000005,0.4939189189189189,0.1405769230769231
Pattaya_United_FC_versus_Chanthaburi_time_2024-04-20 14:32:33,Pattaya_United_FC_versus_Chanthaburi,2024-04-20,14:32:33,Pattaya United FC,Chanthaburi,74',2,1,1.1,6.0,35.0,0.8232090909090908,0.15092166666666665,0.025872285714285712
Roea_(F)_versus_Vålerenga_(F)_time_2024-04-20 14:32:33,Roea_(F)_versus_Vålerenga_(F),2024-04-20,14:32:33,Roea (F),Vålerenga (F),74',0,2,80.0,25.0,1.0,0.0118765,0.0380048,0.95012
FC_Hirnyk-Sport_versus_Podillya_Khemlnitskiy_time_2024-04-20 14:32:33,FC_Hirnyk-Sport_versus_Podillya_Khemlnitskiy,2024-04-20,14:32:33,FC Hirnyk-Sport,Podillya Khemlnitskiy,73',1,0,1.45,3.4,8.0,0.622,0.26526470588235296,0.1127375
AFC_Eskilstuna_versus_Assyriska_FF_time_2024-04-20 14:32:33,AFC_Eskilstuna_versus_Assyriska_FF,2024-04-20,14:32:33,AFC Eskilstuna,Assyriska FF,73',3,3,2.7,1.9,4.7,0.3338333333333333,0.47439473684210526,0.19177659574468084
Istanbulspor_AS_versus_Fatih_Karagümrük_time_2024-04-20 14:32:59,Istanbulspor_AS_versus_Fatih_Karagümrük,2024-04-20,14:32:59,Istanbulspor AS,Fatih Karagümrük,90',1,1,12.0,1.3,4.3,0.07679666666666667,0.7088923076923077,0.21431627906976747
1._FC_Kaiserslautern_versus_SV_Wehen_Wies._time_2024-04-20 14:32:59,1._FC_Kaiserslautern_versus_SV_Wehen_Wies.,2024-04-20,14:32:59,1. FC Kaiserslautern,SV Wehen Wies.,75',1,1,3.0,1.7,6.0,0.30630666666666667,0.5405411764705882,0.15315333333333334
Fortuna_Düsseldorf_versus_Greuther_Fürth_time_2024-04-20 14:32:59,Fortuna_Düsseldorf_versus_Greuther_Fürth,2024-04-20,14:32:59,Fortuna Düsseldorf,Greuther Fürth,74',1,0,1.16,5.5,22.0,0.7913706896551724,0.1669072727272727,0.04172681818181818
VfL_1899_Osnabrück_versus_Eintr._Braunschweig_time_2024-04-20 14:32:59,VfL_1899_Osnabrück_versus_Eintr._Braunschweig,2024-04-20,14:32:59,VfL 1899 Osnabrück,Eintr. Braunschweig,72',0,3,250.0,80.0,1.0,0.0039350800000000005,0.012297125,0.98377
